"_id","label","only_id"
"604f34974b20000085003fd2","2","C_4584728101913123"
"604f34974b20000085003fd3","2","C_4584715090140380"
"604f34974b20000085003fd4","2","C_4584704446306213"
"604f34974b20000085003fd5","0","C_4584679857986953"
"604f34974b20000085003fd6","2","C_4584679812639256"
"604f34974b20000085003fd7","2","C_4584669519552745"
"604f34974b20000085003fd8","2","C_4584641753258826"
"604f34974b20000085003fd9","2","C_4584538850985642"
"604f34974b20000085003fda","2","C_4584861136847802"
"604f34974b20000085003fdb","2","C_4584665949683061"
"604f34974b20000085003fdc","2","C_4585403258249802"
"604f34974b20000085003fdd","2","C_4585331266950287"
"604f34974b20000085003fde","1","C_4585198370425044"
"604f34974b20000085003fdf","2","C_4585081119184863"
"604f34974b20000085003fe0","2","C_4585079835214551"
"604f34974b20000085003fe1","2","C_4585033736128775"
"604f34974b20000085003fe2","2","C_4584677404844096"
"604f34974b20000085003fe3","2","C_4584657973157866"
"604f34974b20000085003fe4","1","C_4584463005125225"
"604f34974b20000085003fe5","2","C_4584334366089993"
"604f34974b20000085003fe6","2","C_4584313628925052"
"604f34974b20000085003fe7","1","C_4585302624829667"
"604f34974b20000085003fe8","2","C_4584961262238219"
"604f34974b20000085003fe9","2","C_4586706080892557"
"604f34974b20000085003fea","2","C_4586354794826476"
"604f34974b20000085003feb","2","C_4586747961023592"
"604f34974b20000085003fec","2","C_4586461586787920"
"604f34974b20000085003fed","2","C_4586454203774286"
"604f34974b20000085003fee","2","C_4585636541501844"
"604f34974b20000085003fef","2","C_4585590030863032"
"604f34974b20000085003ff0","2","C_4585547978507496"
"604f34974b20000085003ff1","2","C_4585402167460279"
"604f34974b20000085003ff2","2","C_4585399643805481"
"604f34974b20000085003ff3","2","C_4585304747411999"
"604f34974b20000085003ff4","2","C_4585214649834668"
"604f34974b20000085003ff5","2","C_4585070226837900"
"604f34974b20000085003ff6","0","C_4584839993102943"
"604f34974b20000085003ff7","2","C_4584838361251948"
"604f34974b20000085003ff8","2","C_4585896051474651"
"604f34974b20000085003ff9","2","C_4584914307517939"
"604f34974b20000085003ffa","2","C_4584913582175903"
"604f34974b20000085003ffb","2","C_4584912626389851"
"604f34974b20000085003ffc","2","C_4584859085833082"
"604f34974b20000085003ffd","2","C_4584859038650697"
"604f34974b20000085003ffe","2","C_4584841280757058"
"604f34974b20000085003fff","2","C_4584821504608703"
"604f34974b20000085004000","1","JysY2jISR-576073929696"
"604f34974b20000085004001","1","JysY2jISR-229662092162"
"604f34974b20000085004002","1","JysY2jISR-201210941791"
"604f34974b20000085004003","1","JysY2jISR-173168629025"
"604f34974b20000085004004","0","JysY2jISR-632482564649"
"604f34974b20000085004005","1","JysY2jISR-598338413265"
"604f34974b20000085004006","1","JysY2jISR-227146834218"
"604f34974b20000085004007","0","JysY2jISR-381140610784"
"604f34974b20000085004008","1","JysY2jISR-596978469995"
"604f34974b20000085004009","0","JysY2jISR-733329968037"
"604f34974b2000008500400a","1","JysY2jISR-209401898150"
"604f34974b2000008500400b","1","JysY2jISR-267352877332"
"604f34974b2000008500400c","1","JysY2jISR-634021979538"
"604f34974b2000008500400d","1","JysY2jISR-100051265180"
"604f34974b2000008500400e","0","JysY2jISR-611075587580"
"604f34974b2000008500400f","1","JysY2jISR-699185712478"
"604f34974b20000085004010","1","JysY2jISR-526355978716"
"604f34974b20000085004011","1","JysY2jISR-crystal77120880"
"604f34974b20000085004012","1","JysY2jISR-227972670747"
"604f34974b20000085004013","1","JysY2jISR-194339482557"
"604f34974b20000085004014","1","JysY2jISR-210195376710"
"604f34974b20000085004015","1","JysY2jISR-190259522187"
"604f34974b20000085004016","0","JysY2jISR-391617997088"
"604f34974b20000085004017","1","JysY2jISR-655757035058"
"604f34974b20000085004018","1","JysY2jISR-629547805943"
"604f34974b20000085004019","1","JysY2jISR-175919727761"
"604f34974b2000008500401a","1","JysY2jISR-242939299144"
"604f34974b2000008500401b","1","JysY2jISR-174657217184"
"604f34974b2000008500401c","1","JysY2jISR-265157753017"
"604f34974b2000008500401d","1","JysY2jISR-165510929075"
"604f34974b2000008500401e","1","JysY2jISR-659288563899"
"604f34974b2000008500401f","0","JysY2jISR-263089308051"
"604f34974b20000085004020","0","JysY2jISR-602818740392"
"604f34974b20000085004021","1","JysY2jISR-718726746343"
"604f34974b20000085004022","1","JysY2jISR-5581905776100"
"604f34974b20000085004023","1","JysY2jISR-199240671254"
"604f34974b20000085004024","0","JysY2jISR-680394328949"
"604f34974b20000085004025","1","JysY2jISR-662027711679"
"604f34974b20000085004026","1","JysY2jISR-264518393537"
"604f34974b20000085004027","1","JysY2jISR-634972997872"
"604f34974b20000085004028","1","JysY2jISR-140668194726"
"604f34974b20000085004029","1","JysY2jISR-256750095750"
"604f34974b2000008500402a","1","JysY2jISR-638492580650"
"604f34974b2000008500402b","1","JysY2jISR-60162251783"
"604f34974b2000008500402c","1","JysY2jISR-361000993416"
"604f34974b2000008500402d","1","JysY2jISR-559227739836"
"604f34974b2000008500402e","0","JysY2jISR-144637597172"
"604f34974b2000008500402f","1","JysY2jISR-13191506321"
"604f34974b20000085004030","1","JysY2jISR-617131056418"
"604f34974b20000085004031","1","JysY2jISR-129455843742"
"604f34974b20000085004032","1","JysY2jISR-55892815509"
"604f34974b20000085004033","1","JysY2jISR-606357170081"
"604f34974b20000085004034","1","JysY2jISR-265836504768"
"604f34974b20000085004035","1","JysY2jISR-163281769031"
"604f34974b20000085004036","1","JysY2jISR-538166861243"
"604f34974b20000085004037","1","JysY2jISR-719775056881"
"604f34974b20000085004038","1","JysY2jISR-187933593317"
"604f34974b20000085004039","1","JysY2jISR-241390172212"
"604f34974b2000008500403a","1","JysY2jISR-39376742399"
"604f34974b2000008500403b","1","JysY2jISR-140578452365"
"604f34974b2000008500403c","1","JysY2jISR-56174450926"
"604f34974b2000008500403d","1","JysY2jISR-63366533375"
"604f34974b2000008500403e","1","JysY2jISR-565132290780"
"604f34974b2000008500403f","0","JysY2jISR-584652574974"
"604f34974b20000085004040","0","JysY2jISR-568691169713"
"604f34974b20000085004041","1","JysY2jISR-275338503378"
"604f34974b20000085004042","1","JysY2jISR-59769645197"
"604f34974b20000085004043","1","JysY2jISR-530110059197"
"604f34974b20000085004044","1","JysY2jISR-557752738885"
"604f34974b20000085004045","0","JysY2jISR-533227298061"
"604f34974b20000085004046","1","JysY2jISR-16997873454"
"604f34974b20000085004047","1","JysY2jISR-sweetspringofsummer67"
"604f34974b20000085004048","1","JysY2jISR-604115522710"
"604f34974b20000085004049","2","JysY2jISR-72592888239"
"604f34974b2000008500404a","1","JysY2jISR-2843709444100"
"604f34974b2000008500404b","1","JysY2jISR-568914327291"
"604f34974b2000008500404c","1","JysY2jISR-32549450944"
"604f34974b2000008500404d","1","JysY2jISR-645005552972"
"604f34974b2000008500404e","1","JysY2jISR-641025259011"
"604f34974b2000008500404f","1","JysY2jISR-227972670748"
"604f34974b20000085004050","1","JysY2jISR-549522873928"
"604f34974b20000085004051","1","JysY2jISR-39345185235"
"604f34974b20000085004052","1","JysY2jISR-268606978322"
"604f34974b20000085004053","1","JysY2jISR-55577333428"
"604f34974b20000085004054","1","JysY2jISR-720082311662"
"604f34974b20000085004055","1","JysY2jISR-648175881432"
"604f34974b20000085004056","1","JysY2jISR-186943050267"
"604f34974b20000085004057","1","JysY2jISR-536258437454"
